"CODIGO_SOLICITUD","FECHA_RECEPCION","FECHA_RESPUESTA","PAIS_SOLICITUD","SECTOR_SOLICITUD","CATEGORIA_SOLICITUD","ESTADO_SOLICITUD","RESUMEN_SOLICITUD","RESUMEN_RESPUESTA","RESERVA","ES_REVISION","FECHA_RECEPCION_REVISION","FECHA_RESPUESTA_REVISION","RESUMEN_SOLICITUD_REVISION","RESUMEN_RESPUESTA_REVISION","ESTADO_REVISION"
C-92-2024,2024-06-12 11:29:00.000,2024-06-19 11:32:32.000,Costa Rica,Medios de comunicación,Compleja,Denegado,"Buenos d?as.
Mediante este medio los saludo de manera cordial y solicito si nos pueden suministrar el informe sobre la decisi?n en el caso de Christian Bulgarelli. 
Gracias
","La información solicitada es reservada de conformidad con el artículo 25  literal j  de la Política de Acceso a la Información referida a información sobre: “Denuncias y procesos investigativos concluidos o en proceso recibidos por el Canal de Reportes del BCIE u otros medios establecidos por el Banco”.
El BCIE remitirá la información y documentación recabada en este proceso de integridad al Ministerio Público del Estado costarricense para lo procedente.


Fecha de cierre de solicitud: 06/19/2024",Denuncias y procesos investigativos concluidos o en proceso recibidos por el Canal de Reportes del BCIE u otros medios establecidos por el Banco.,0,,,,,
F-12-2024,2024-01-19 15:20:06.000,2024-02-02 11:54:24.000,Honduras,Academia,Estandar,Denegación Parcial,"1.Se solicita información  desagregada de las auditorias y evaluaciones del BCIE realizadas de enero a diciembre en 2023.
2.Se solicita información desagregada  por: documentos divulgados proactivamente y divulgados después de una solicitud de información de  enero a diciembre de 2023.
3.Se solicita información desagregada  por; la cantidad de solicitudes de información recibidas de enero a diciembre de 2023 contestadas rechazadas denegadas y en proceso.
4. De los prestamos basados en politicas desagregada por año desde 2018 hasta 2023 por nombre  monto y al Estado que se le otorgo el préstamo.
"," 
1.Se solicita información desagregada de las auditorias y evaluaciones del BCIE realizadas de enero a diciembre en 2023. 
(a) La información relacionada con auditorias es reservada de conformidad con el artículo 25 de la Política de Acceso a la Información  literal c  relacionada con Informes de órganos de control internos y externos. 
(b) Toda la información relacionada con las Evaluaciones de la Oficina de Evaluación Independiente (ODEI) puede ser encontrada en el siguiente enlace: 
https://ode.bcie.org/ 
2. Se solicita información desagregada  por: documentos divulgados proactivamente y divulgados después de una solicitud de información de enero a diciembre de 2023.
Toda la información relacionada con los datos de cumplimiento de la Política de Acceso a la Información puede ser encontrados en la siguiente plataforma: 
https://www.bcie.org/acceso-a-la-informacion/indicadores-de-cumplimiento-pai 
En cuanto a documentos divulgados proactivamente  adjuntamos la tabla correspondiente. Es preciso indicar que esta tabla representa la data preliminar al día de la fecha  la cuál aún está en proceso de depuración para la elaboración del Informe Anual 2023 de la Política de Acceso a la Información. Este informe será publicado en los próximos meses. 
Respecto de documentos divulgados después de una solicitud de información  es importante indicar que el Banco está trabajando en contar con un registro público de todas las solicitudes y su respuesta. Por el momento  en la plataforma señalada puede encontrar el dato de todas aquellas solicitudes que fueron respondidas positivamente. Es decir  en las que se entregó la información al solicitante. 
 3.Se solicita información desagregada  por: la cantidad de solicitudes de información recibidas de enero a diciembre de 2023  contestadas  rechazadas  denegadas y en proceso. 
Toda la información relacionada con los datos de cumplimiento de la Política de Acceso a la Información puede ser encontrados en la siguiente plataforma: 
https://www.bcie.org/acceso-a-la-informacion/indicadores-de-cumplimiento-pai 
4. De los prestamos basados en políticas  desagregada por  año  desde 2018 hasta 2023  por nombre  monto y al Estado que se le otorgó el préstamo. 
Todos los datos relacionados con las operaciones basadas en políticas pueden ser encontrada en la siguiente plataforma. Por favor  ir al apartado de RECURSOS  que se encuentran a la derecha  para que pueda descargar la información que le interesa  filtrando por el tipo de operación  país  desembolsos y año que busca.
https://www.bcie.org/operaciones-y-proyectos/cifras-historicas  


Fecha de cierre de solicitud: 02/02/2024",Informes de órganos de control internos y externos.,0,,,,,
F-5-2021,2021-03-14 21:59:10.000,2021-04-21 10:39:06.000,Honduras,Sector Público,No Categorizada,Desestimado,,,,0,,,,,
F-62-2024,2024-05-06 14:03:36.000,2024-05-23 09:25:00.000,El Salvador,Academia,Compleja,Denegación Parcial,"a) El cronograma de desembolsos que tuvieron los créditos: 2276 aprobado el 20 de julio del 2021  denominado “Programa de apoyo a medidas de recuperación económica  implementadas en beneficio de las empresas y el empleo afectadas por el Covid-19”; y el préstamo 2247  aprobado el 23 de julio 2020  denominado “financiamiento parcial de medidas económicas  compensatorias  implementadas por la emergencia covid-19”.

b) Información sobre auditorías externas realizadas a los prestamos: 2276 aprobado el 20 de julio del 2021  denominado “Programa de apoyo a medidas de recuperación económica  implementadas en beneficio de las empresas y el empleo afectadas por el Covid-19”; y el préstamo 2247  aprobado el 23 de julio 2020  denominado “financiamiento parcial de medidas económicas  compensatorias  implementadas por la emergencia covid-19”. En caso haberse realizado  proporcionar copias de informes.","En la presente herramienta puede encontrar el historial de desembolsos (en el lado derecho están las opciones para que descargue la información segun sus intereses): 
https://www.bcie.org/operaciones-y-proyectos/cifras-historicas 
En cuanto a las auditorias externas  cumplo en indicarle que está información es reservada de conformidad con el artículo 25  literal g  de la Política de Acceso a la Información  relacionada información recibida bajo el amparo de un contrato suscrito que incluya un acuerdo de confidencialidad. 


Fecha de cierre de solicitud: 05/23/2024",Información recibida previo a establecer una relación contractual o recibida bajo el amparo de un contrato suscrito bajo un acuerdo de confidencialidad,0,,,,,
F-52-2025,2025-05-21 15:18:43.000,2025-05-28 17:58:53.000,Guatemala,Academia,Compleja,Denegado,"I would like to request the studies for the following projects.

1.- Apoyo al desarrollo del Tren del Pacífico en El Salvador.
2.- Integración de los sistemas públicos de transporte en la provincia de Panamá.
3.- Desarrollo de la Red Ferroviaria de la Línea 5 del Metro de Panamá.
4.- Estudios del tren entre Santiago de los Caballeros y Santo Domingo en República Dominicana"," 
Los estudios solicitados son insumos para posibles operaciones que podrían ser financiadas por el Banco. Por tal motivo  son información reservada de conformidad con el artículo 25  literal a  de la Política de Acceso a la Información  referida a información deliberativa.  


Fecha de cierre de solicitud: 05/28/2025",Comunicaciones de cualquier naturaleza  dentro y entre dependencias.,0,,,,,
F-25-2023,2023-03-08 13:32:28.000,2023-03-30 16:56:23.000,Honduras,Medios de comunicación,Compleja,Denegación Parcial,,,Información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. ,0,,,,,
C-110-2024,2024-07-23 15:00:00.000,2024-11-24 18:34:29.000,Costa Rica,Academia,Compleja,Denegación Parcial,"1. ¿Son los directores-país del BCIE funcionarios permanentes o regulares del Banco? Me refiero a los miembros del Directorio del Banco Centroamericano de Integración Económica.  

2.- ¿Qué normativa regula los préstamos para vivienda  educación y otros  que se otorgan a los funcionarios permanentes del BCIE? Lo anterior  en seguimiento y complemento a la respuesta recibida a la consulta C-88-2023 y lo que indica la página web del Banco.  

3.- Solicito una copia del reglamento del Fondo de Prestaciones Sociales.","A continuación  las respuestas a sus preguntas: 
Efectivamente  los Directores del BCIE son funcionarios regulares del Banco.
Los beneficios para los empleados permanentes del BCIE están regulados por el Estatuto Orgánico del Fondo de Prestaciones Sociales y su Manual de Normas Complementarias.
La normativa del Fondo de Prestaciones Sociales es información reservada de conformidad con la Política de Acceso a la Información  artículo 25  literal c  la cual establece que son reservados los documentos del marco regulatorio del BCIE clasificados en categorías “No Públicas”.


Fecha de cierre de solicitud: 11/24/2024",Documentos del marco regulatorio del BCIE clasificados en categorías “No Públicas”.,0,,,,,
F-149-2024,2024-11-19 17:18:00.000,2024-12-03 17:54:24.000,Guatemala,Academia,Compleja,Denegación Parcial,"Por este medio solicito amablemente que me puedan brindar la siguiente información: 

1) Nombramiento de Oficial Jefe de País: Miguel Ángel Almeyda Casillas
2) Estatutos de constitución de Banco Centroamericano de Integración Económica y modificaciones (si las hubiese) y tratados internacionales. 
3) Detalle de los miembros de la Junta Directiva"," 
Efectivamente  el señor Miguel Angel Almeyda Casillas es Gerente de País (Guatemala)  el cual ingresó en esta posición a partir del 9 de noviembre de 2022. El documento de nombramiento de esta persona es reservado  de conformidad con la Política de Acceso  a la Información  artículo 25  literal O  que estable que no se pondrá a disposición del público  los “detalles de los procesos de reclutamiento y selección  así como los expedientes del personal”. 
 
El Convenio Constitutivo y demás normativa puede ser encontrada en el siguiente enlace: 
bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/Forms/Tipo documental.aspx?id=%2Fsites%2FDocPub%2FDoc_Pub%2F617%2FConvenio_Constitutivo_modificado_AG%2E6%2E2020%2Epdf&parent=%2Fsites%2FDocPub%2FDoc_Pub%2F617&p=true&ga=1
https://www.bcie.org/acceso-a-la-informacion/marco-regulatorio-de-acceso-a-la-informacion
Toda la información sobre el Directorio del Banco puede ser encontrada en el siguiente enlace:
https://www.bcie.org/acerca-del-bcie/estructura-organizacional/directorio 
https://www.bcie.org/acerca-del-bcie/estructura-organizacional/directorio/agendas-y-decisiones-del-directorio-del-banco
 


Fecha de cierre de solicitud: 12/03/2024",Detalles de los procesos de reclutamiento y selección  así como los expedientes del personal.,0,,,,,
F-5-2024,2024-01-09 17:59:42.000,2024-01-18 15:42:23.000,El Salvador,Medios de comunicación,Compleja,Denegación Parcial,"Buenas tardes. 

Solicito me informen si existe de parte del BCIE alguna recomendación  sugerencia o asunto legal con el Ministerio de Obras Públicas y Transporte de El Salvador  en cuanto a mantener en reserva información y/o documentos relacionados con la contratación y ejecución de contratos para la construcción y supervisión del proyecto ""construcción y ampliación de carretera CA01W (tramo Los Chorros)  entre el bulevar Monseñor Romero  y CA01W  municipio de Santa Tecla  Colón y San Juan Opico.
En caso contrario  solicito  si no hay inconveniente alguno  me proporcionen copia del documento de contrato de construcción del referido proyecto (Contraton No. 53-2023  ente el Ministerio de Obras Públicas y la empresa Dongbu Corporation).","De parte del BCIE  no existe ninguna recomendación o lineamiento al MOPT sobre al manejo de la información de dicha instancia relacionado a la información o documentos de la contratación y ejecución de los contratos para la construcción y supervisión del proyecto “Construcción de Viaducto y Ampliación de Carretera CA01W (Tramo Los Chorros)”.  
El contrato de construcción celebrado entre el MOPT y Dongbu  es un documento reservado de conformidad con la Política de Acceso a la Información del BCIE  literal g  referido a “Información recibida previo a establecer una relación contractual o recibida bajo el amparo de un contrato suscrito que incluya un acuerdo de confidencialidad con cualquier contraparte del BCIE  incluyendo inversionistas  clientes  fuentes de recursos  proveedores de servicios y calificadoras de riesgo  entre otros.”


Fecha de cierre de solicitud: 01/18/2024",Información recibida previo a establecer una relación contractual o recibida bajo el amparo de un contrato suscrito bajo un acuerdo de confidencialidad.,0,,,,,
F-44-2024,2024-03-12 20:14:44.000,2024-04-02 08:57:13.000,Estados Unidos,Medios de comunicación,Compleja,Denegación Parcial,"El listado de todas las personas que trabajan y/o trabajaron en el BCIE en los años 2016  2017  2018  2019  2020  2021  2022  2023 y 2024  indicando de cada una:

1. Nombres y apellidos completos
2. Puesto de trabajo
3. Departamento  dirección o área de trabajo
4. Lugar o lugares donde trabajó (ubicación geográfica)
5. Todas las remuneraciones obtenidas  incluyendo salarios  bonos  dietas  prestaciones  viáticos  etc.
","Se adjunta la información requerida. 
En cuanto a la información sobre remuneraciones  salarios  bonos  dietas  prestaciones  viáticos  entre otros  cumplo en indicarle que dicha información es reservada de conformidad con el artículo 25  literal f  de la Política de Acceso a la Información referida a: “Información personal  financiera y salarial de funcionarios  empleados y demás personal  jubilados o exempleados  así como sus declaraciones de situación patrimonial”. 


Fecha de cierre de solicitud: 04/02/2024",Información personal  financiera y salarial de funcionarios  empleados y demás personal  jubilados o exempleados  así como sus declaraciones de situación patrimonial. ,0,,,,,
C-39-2024,2024-03-04 16:31:00.000,2024-03-06 14:57:04.000,Costa Rica,Academia,Compleja,Denegación Parcial,"Agradezco me pueda facilitar el acta del Directorio del BCIE de la sesi?n de setiembre  en la que se conoci? una comunicaci?n urgente del gobierno de Costa Rica  relacionada con el refrendo de los recursos para el proyecto de Ciudad Gobierno. Si no fuese posible contar con el acta  indicar las razones y compartir  en su lugar  la comunicaci?n que remiti? el gobierno de Costa Rica sobre el tema y que fue conocida por el Directorio. Saludos y gracias.
","Las actas del Directorio son documentos reservados de conformidad con la Política de Acceso a la Información  artículo 25  literal a  la cual indica que el Banco no pondrá a disposición del público:
“Información deliberativa de Asamblea de Gobernadores  Directorio  comités de gobernadores  comités de directores y comités de la Administración  incluyendo las manifestaciones individuales de cada uno de sus miembros:
- Acuerdos y resoluciones que hayan sido clasificados en categorías No Públicas.
- Actas y verbatim de sesiones.""
En cuanto a la comunicación del gobierno de Costa Rica sobre el tema de referencia  el BCIE no ha recibido ninguna solicitud por parte del Gobierno de Costa Rica para modificar la operación Ciudad Gobierno. Asimismo  el Banco tampoco ha eliminado el requisito del cumplimiento de la normativa legal del país para la entrada en vigencia del contrato  siendo el Gobierno quien debe obtener todas las autorizaciones internas previo a la firma  sean estas autorizaciones legislativas  refrendos o vistos buenos en caso de ser necesario. 
En agosto de 2023  lo que el Directorio conoció fue una modificación a fin de adecuar la operación a la nueva Ley de Contratación pública y sus Reglamentos. En el siguiente enlace encontrará la resolución pública del Directorio respectiva:
https://bcie2014.sharepoint.com/:b:/s/DocPub/Ec5kJw6lfxNMqMgmTBUkWYYB-S9rSmKkRZCUafugN1Gs1w     


Fecha de cierre de solicitud: 03/06/2024",Información deliberativa de Asamblea de Gobernadores  Directorio  comités de gobernadores y comités de la Administración.,0,,,,,
F-161-2023,2023-11-13 15:39:21.000,2023-11-15 09:29:27.000,Honduras,Sector Privado,Compleja,Denegado,,,Denuncias y procesos investigativos concluidos o en proceso recibidos por el Canal de Reportes del BCIE u otros medios establecidos por el Banco.,0,,,,,
F-41-2023,2023-03-29 14:00:58.000,2023-05-24 00:00:00.000,United States,Medios de comunicación,Compleja,Denegación Parcial,,,Informes de órganos de control internos y externos.,0,,,,,
F-7-2021,2021-03-21 17:37:02.000,2021-03-25 08:53:27.000,Costa Rica,Personal,No Categorizada,Desestimado,,,,0,,,,,
C-66-2024,2024-05-08 00:12:00.000,2024-05-28 18:58:42.000,República Dominicana,Sector Privado,Compleja,Denegado,"Protesta - Licitaci?n P?blica 050/2023 ""Estudios de Viabilidad para los Proyectos del Plan Integral de Rescate del R?o Ozama / Isabela de Rep?blica Dominicana
?Estimado [?] 
?le solicitamos nos pueden enviar el informe de evaluaci?n justificado y fundamentado  con las aclaraciones en todos los numerales identificados en los criterios de evaluaci?n 
","El informe sobre la licitación de referencia es reservado de conformidad con el artículo 25  literal g  de la Política de Acceso a la Información  relacionado con: “información recibida previo a establecer una relación contractual o recibida bajo el amparo de un contrato suscrito que incluya un acuerdo de confidencialidad con cualquier contraparte del BCIE  incluyendo inversionistas  clientes  fuentes de recursos  proveedores de servicios y calificadoras de riesgo  entre otros”. 


Fecha de cierre de solicitud: 05/28/2024",Información recibida previo a establecer una relación contractual o recibida bajo el amparo de un contrato suscrito bajo un acuerdo de confidencialidad,0,,,,,
F-159-2023,2023-11-29 16:24:15.000,2023-11-27 16:21:56.000,El Salvador,Medios de comunicación,Compleja,,,,Comunicaciones de cualquier naturaleza  dentro y entre dependencias.,1,2023-11-29 16:24:17.000,2024-01-30 15:42:41.000,"Buenos días
Por este medio quisiera solicitarles la siguiente información referida al proyecto hidroeléctrico El Chaparral en El Salvador  financiado  en parte  con dos préstamos de ustedes. 

Solicitó el avance de la obra física que entiendo le era notificado al Banco por las entidades supervisoras de la misma.

Avance anual desde 2008 o 2009 hasta 2023. Si tuviesen registro de varios avances durante el año también sería importante para nosotros.

Finalmente  si hay documentos donde se desglose el estado de avance de las obras -cuarto de máquinas  presa ...- que componen el proyecto también se lo agradecería.
 
Gracias de antemano
","Estimado solicitante: 
Se adjunta la decisión del Comité de Comunicaciones y de Acceso a la Información. 
Cordialmente  
Unidad de Acceso a la Información


Fecha de cierre de solicitud: 01/30/2024",Denegado
F-32-2023,2023-03-21 10:53:50.000,2023-03-22 11:18:33.000,United States,Medios de comunicación,Compleja,Denegación Parcial,,,Información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. ,0,,,,,
F-89-2023,2023-06-07 17:08:34.000,2023-07-15 07:14:37.000,Costa Rica,Personal,Compleja,Denegación Parcial,,,Documentos del marco regulatorio del BCIE clasificados en categorías “No Públicas”.,0,,,,,
F-119-2022,2022-09-14 09:39:36.000,2022-11-01 09:57:50.000,Guatemala,Medios de comunicación,Compleja,Denegación Parcial,,,Presupuesto detallado de funcionamiento y de inversiones de las direcciones  dependencias adscritas al Directorio  gerencias  oficinas staff y dependencias de la Administración.,0,,,,,
